scrip_code,symbol
544002,VIVAA
544001,SUNITATOOL
544000,CCAL
543999,SENSEXETF
543998,VALIANTLAB
543997,ORGANICREC
543996,UDS
543995,MVGJL
543994,JSWINFRA
543993,ARCL
543992,YATRA
543991,TECHKGREEN
543990,SIGNATURE
543989,KALAMANDIR
543988,NUVAMA
543986,SOUTHWEST
543985,ZAGGLE
543984,SAMHI
543983,EMSLIMITED
543982,QUESTFLOW
543981,RRKABEL
543980,JLHL
543979,KAHAN
543978,RATNAVEER
543977,RISHABH
543976,SHRAAITECH
543975,MIDCAPBETA
543974,VPRPL
543972,AEROFLEX
543971,BONDADA
543970,SHOORA
543969,PYRAMID
543965,TVSSCS
543963,SHELTER
543962,DPWIRES
543960,CONCORDBIO
543959,SBFC
543958,VLEGOV
543957,REDTAPE
543956,QUAL30IETF
543955,TREL
543954,ATL
543953,KHAZANCHI
543952,NIITMTS
543950,YATHARTH
543949,PVTBANKADD
543948,PSUBANKADD
543947,SENSEXADD
543945,NETWEB
543944,BANKETF
543943,ASARFI
543942,UTKARSHBNK
543941,AHASOLAR
543940,JIOFIN
543939,KAKA
543938,ACCELERATE
543937,ALPHAIND
543936,SENCO
543935,ITADD
543934,MACIND
543933,CYIENTDLM
543932,IDEAFORGE
543931,VEEFIN
543930,URAVIDEF
543929,HMAAGRO
543928,COSMICCRF
543927,ASIAN
543926,BIZOTIC
543925,MIT
543924,SONALIS
543923,IKIO
543921,COMRADE
543920,CFF
543919,MKPL
543918,GHCLTEXTIL
543917,SIGMA
543916,HSIL
543915,PAVNAIND
543914,SWATIPRO
543913,NXST
543912,PIGL
543911,ATALREAL
543910,AVG
543905,INNOKAIZ
543904,MANKIND
543902,RETINA
543901,RHL
543899,CUBEINVIT
543898,BLAL
543897,SANCODE
543896,AVALON
543895,EXHICON
543874,MAIDEN
543861,USK
543860,JAFINANCE
543859,DIGIFIBRE
543858,LOWVOL
543853,AXSENSEX
543848,DEVLAB
543843,COMMAND
543831,BRIGHT
543830,LABELKRAFT
543829,GSLSU
543828,SUDARSHAN
543819,PSUBNKIETF
543814,PCL
543812,DIVGIITTS
543811,AIRAN
543806,ITCONS
543805,RESGEN
543804,AMANAYA
543799,SVJ
543798,PATRON
543787,ROBU
543782,SEALMATIC
543776,HDFCMID150
543775,HDFCSML250
543774,HDFCBSE500
543769,INDONG
543768,NSLNISP
543767,BTML
543766,ASHIKA
543765,EARTH
543754,TRANSVOY
543753,DHARNI
543748,AARTIPHARM
543747,KAMOPAINTS
543746,LOGICA
543745,SVS
543744,REXSEAL
543743,AERONEU
543738,BANKADD
543737,AVEER
543732,RADIANTCMS
543725,ELIN
543720,KFINTECH
543714,LANDMARK
543713,DRONACHRYA
543712,AFSL
543711,SULA
543710,COMMOIETF
543709,GARGI
543689,UNIPARTS
543688,SARVESHWAR
543687,DHARMAJ
543686,SIRCA
543678,AMBOAGRI
543677,FINIETF
543671,AAATECH
543670,VINNY
543669,RUSTOMJEE
543668,BBTCL
543667,INOXGREEN
543666,HDFCPVTBAN
543665,HDFCNIFIT
543664,KAYNES
543663,FIVESTAR
543657,ACI
543656,TECHNOPACK
543655,ANZEN
543654,MEDANTA
543653,BIKAJI
543652,FUSION
543651,DAPS
543650,DCXINDIA
543645,HPIL
543644,INFOBEAN
543643,NARMADA
543638,TRACXN
543637,PACE
543636,DCI
543635,PPLPHARMA
543628,HDFCMOMENT
543627,HDFCLOWVOL
543626,EMIL
543623,VEDANTASSET
543622,STML
543621,CARGOSOL
543620,INA
543619,CNCRD
543618,CARGOTRANS
543617,REETECH
543616,TLL
543615,SRSOLTD
543614,TIPSFILMS
543613,MAFIA
543608,HDFCVALUE
543607,HDFCGROWTH
543606,CONTAINE
543605,HDFCQUAL
543600,HARSHA
543599,KSOLVES
543598,SISL
543597,VOEPL
543596,TMB
543595,EPBIO
543594,DPL
543593,DBOL
543591,DREAMFOLKS
543590,RHETAN
543578,OLATECH
543577,MOQUALITY
543576,MOVALUE
543575,MOMENTUM
543574,NIFTYQLITY
543573,SYRMA
543571,INFRAIETF
543570,HDFCNEXT50
543569,HDFCNIF100
543568,MOM30IETF
543563,MOHEALTH
543547,DDEVPLSTIK
543546,HEALTHYLIFE
543545,VEERKRUPA
543544,JAYANT
543543,BRRL
543542,KESAR
543541,SAILANI
543540,PGCRL
543539,MODIS
543538,GOEL
543537,SCARNOSE
543536,SILVERPRL
543535,WEWIN
543534,AETHER
543533,EMUDHRA
543532,ETHOSLTD
543531,TIERRA
543530,PARADEEP
543529,DELHIVERY
543528,VENUSPIPES
543527,PRUDENT
543526,LICI
543525,SILVERTUC
543524,RAINBOW
543523,CAMPUS
543522,NVENTURES
543521,FONE4
543520,GLHRL
543519,SFSL
543518,EIGHTY
543517,HARIOMPIPE
543516,DHYAANITR
543515,SEML
543514,VERANDA
543513,UMAEXPORTS
543512,AVROIND
543501,MOLOWVOL
543500,EVOQ
543499,ACHYUT
543498,MSUMI
543497,BCCL
543490,GMRP&UI
543489,GATEWAY
543482,EUREKAFORB
543481,MIDCAPETF
543475,EKENNIS
543474,BSLNIFTY
543473,HEALTHY
543472,TECH
543470,SOFTTECH
543465,MOMOMENTUM
543464,SPITZE
543463,MANYAVAR
543462,DEVIT
543461,SSTL
543460,QRIL
543458,AWL
543454,MAKEINDIA
543453,ALKOSIGN
543450,AUTOIETF
543449,WEL
543444,FABINO
543442,BCONCEPTS
543441,CMSINFO
543440,NIFTYADD
543438,MIDQ50ADD
543437,MONQ50
543435,CLARA
543434,SUPRIYA
543433,HPAL
543428,DATAPATTNS
543427,MEDPLUS
543426,METROBRAND
543425,MAPMYINDIA
543420,JETFREIGHT
543419,SHRIRAMPPS
543417,RATEGAIN
543416,ZODIAC
543415,ANANDRATHI
543414,MAHKTECH
543413,TEGA
543412,STARHEALTH
543411,HITECH
543410,DMR
543401,GOCOLORS
543400,OMNIPOTENT
543399,TARSONS
543398,LATENTVIEW
543397,SAPPHIRE
543396,PAYTM
543391,SGFRL
543390,POLICYBZR
543389,SIGACHI
543388,EQUAL50ADD
543387,SJS
543386,FINOPB
543385,NHIT
543384,NYKAA
543383,CONSUMIETF
543377,ADISHAKTI
543376,SAMOR
543375,PROMAX
543374,ABSLAMC
543373,SVRL
543372,GETALONG
543367,PARAS
543366,SBLI
543365,MASPTOP50
543364,MARKOLINES
543363,PREVEST
543358,SANSERA
543357,AXISCETF
543352,POBS
543350,VIJAYA
543349,ACUTAAS
543348,AXISHCETF
543347,AXISTECETF
543346,AASHKA
543341,SHARPLINE
543336,CHEMPLASTS
543335,APTUS
543334,NUVOCO
543333,CARTRADE
543332,EPIGRAL
543331,MOL
543330,DEVYANI
543329,WINDLAS
543328,KRSNAA
543327,EXXARO
543326,FMCGIETF
543325,ROLEXRINGS
543324,GCSL
543323,BFSI
543322,ALIVUS
543321,TATVA
543320,ETERNAL
543319,AAPLUSTRAD
543318,CLEAN
543317,GRINFRA
543312,FOCUS
543311,IPL
543310,TIMESGREEN
543309,ADESHWAR
543308,KIMS
543306,DODLA
543300,SONACOMS
543299,SHYAMMETL
543298,VINEETLAB
543292,HEALTHIETF
543291,MAFANG
543290,PGINVIT
543288,DEEPINDS
543287,LODHA
543286,JETMALL
543285,RCAN
543284,EKI
543283,UFBL
543281,SUVIDHAA
543280,NAZARA
543279,SURYODAY
543278,KALYANKJIL
543277,LXCHEM
543276,CRAFTSMAN
543275,ANURAS
543273,KMEW
543272,EASEMYTRIP
543271,JUBLINGREA
543270,MTARTECH
543268,DRCSYSTEMS
543267,DAVANGERE
543266,HERANBA
543265,RAILTEL
543264,NURECA
543263,SMCGLOBAL
543262,MRP
543261,BIRET
543260,STOVEKRAFT
543259,HOMEFIRST
543258,INDIGOPNTS
543257,IRFC
543256,RFLL
543255,INFRABEES
543254,AWHCL
543253,BECTORFOOD
543252,FAIRCHEMOR
543251,RVHL
543249,TARC
543248,RBA
543246,ESG
543245,GLAND
543244,SHINEFASH
543243,EQUITASBNK
543242,HEMIPROP
543241,VGIL
543240,LIKHITHA
543239,GMPL
543238,UTIAMC
543237,MAZDOCK
543236,ATAM
543235,ANGELONE
543234,SECMARK
543233,CHEMCON
543232,CAMS
543231,ADL
543230,ADVAIT
543229,SAMRATFORG
543228,ROUTE
543227,HAPPSTMNDS
543226,BANKBETA
543225,ALTIUSINVIT
543224,HDFCNIFBAN
543223,MAXIND
543221,ITIETF
543220,MAXHEALTH
543219,ALPL30IETF
543218,SBGLP
543217,MINDSPACE
543214,NDRAUTO
543213,ROSSARI
543212,BOROLTD
543211,BONLON
543210,AARTISURF
543209,BILLWIN
543208,REGIS
543207,NATURAL
543193,DJML
543187,POWERINDIA
543186,11DPD
543185,11AQR
543184,11AQD
543183,11AMR
543182,11AMD
543181,11AGG
543180,11ADR
543179,11ADD
543178,11QPR
543177,11QPD
543176,11MPR
543175,11MPD
